p-lables,per_batch,per_box,length/mm,width/mm,layers,p_weight_g/m2,pieces_per_one,decoration,scent,materials,next_m,clust.num
1,3,16,160,195,4,13.5,90,羽毛压花（加双边）,0,13.8g 软抽面巾原纸,272158.2699,1
2,4,16,160,195,4,13.5,90,羽毛压花（加双边）,0,13.8g 软抽面巾原纸,254244.523,1
3,3,16,160,195,4,13.5,90,羽毛压花（加双边）,0,13.8g 软抽面巾原纸,147641.8622,1
4,4,16,160,195,4,13.5,90,羽毛压花（加双边）,0,13.8g 软抽面巾原纸,476874.1826,1
5,18,1,153,195,3,13,150,双压线,0,13g 超韧软抽原纸,235020.0861,2
6,3,16,160,195,4,13.5,90,羽毛压花（加双边）,白桃味香（1.17g/小包）,13.8g 软抽面巾原纸,546156.0105,1
7,3,6,160,195,4,13.5,100,羽毛压花（加双边）,0,13.8g 软抽面巾原纸,111293.7151,1
8,4,4,160,195,4,13.5,90,羽毛压花（加双边）,0,13.8g 软抽面巾原纸,135878.3903,1
9,8,8,160,195,4,13.5,90,羽毛压花（加双边）,0,13.8g 软抽面巾原纸,236475.0448,1
10,3,6,160,195,4,13.5,90,羽毛压花（加双边）,0,13.8g 软抽面巾原纸,70596.09418,1
11,3,6,160,195,4,13.5,90,羽毛压花（加双边）,0,13.8g 软抽面巾原纸,181297.2281,1
12,4,16,160,195,4,13.5,90,羽毛压花（加双边）,0,13.8g 软抽面巾原纸3400mm,10809.32924,1
13,3,6,160,195,4,13.5,90,羽毛压花（加双边）,0,13.8g 软抽面巾原纸,165747.0973,1
14,3,16,160,195,4,13.5,90,羽毛压花（加双边）,0,,419611.0865,1
15,4,4,160,195,4,13.5,90,羽毛压花（加双边）,0,13.8g 软抽面巾原纸,21172.47043,1
16,4,16,160,195,4,13.5,90,羽毛压花（加双边）,0,13.8g 软抽面巾原纸,17670.67821,1
17,3,6,160,195,4,13.5,90,羽毛压花（加双边）,0,13.8g 软抽面巾原纸,57001.95912,1
18,4,16,160,195,4,13.5,90,羽毛压花（加双边）,0,13.8g 软抽面巾原纸,261682.0897,1
19,3,16,160,195,4,13.5,90,羽毛压花（加双边）,0,13.8g 软抽面巾原纸,43250.31468,1
20,4,16,160,195,4,13.5,90,羽毛压花（加双边）,0,13.8g 软抽面巾原纸,2010.450712,1
21,3,16,189,195,2,15,200,压线,0,15.0g 软抽原纸,7441.474911,3
22,6,10,133,195,2,15,180,压线,0,15.0g 软抽原纸,51168.85492,3
23,8,3,160,195,3,11,150,压线,0,11.0g软抽原纸,357481.6976,2
24,3,10,160,195,2,15,160,压线,0,15.0g 软抽原纸,260991.0806,3
25,3,16,160,195,2,15,150,压线,0,15.0g 软抽原纸,128480.2079,3
26,3,8,133,195,2,15,180,压线,0,15.0g 软抽原纸,8060.328046,3
27,6,8,133,195,3,13,130,压线,0,13g 超韧软抽原纸,97669.7312,2
28,6,10,133,195,2,15,160,压线,0,15.0g 软抽原纸,10753.69649,3
29,3,16,189,195,3,13,150,压线,0,13g 超韧软抽原纸,9521.810131,2
30,0,0,/,/,/,/,/,/,0,/,208858.0133,4
31,3,16,160,195,2,15,150,压线,0,15.0g 软抽原纸,270570.9063,3
32,6,3,133,195,3,12,140,星星月亮花纹（中间层先过小点压花，三层一起过日月星压花）,0,12.0g软抽原纸,307321.6531,5
33,6,4,133,195,3,13,130,压线,0,13g 超韧软抽原纸,93815.42954,2
34,8,6,133,195,3,13,130,压线,0,13g 超韧软抽原纸,224059.6087,2
35,3,16,133,195,3,12,140,星星月亮花纹（中间层先过小点压花，三层一起过日月星压花）,0,12.0g软抽原纸,469074.9788,5
36,4,16,160,195,3,12,100,星星月亮花纹（中间层先过小点压花，三层一起过日月星压花）,0,12.0g软抽原纸,5518.762645,5
37,6,8,133,195,3,12,136,星星月亮花纹（中间层先过小点压花，三层一起过日月星压花）,雏菊淡香,12.0g软抽原纸,30811.6202,5
38,8,6,133,195,3,12,140,星星月亮花纹（中间层先过小点压花，三层一起过日月星压花）,0,12.0g软抽原纸,681.4908135,5
39,3,16,189,195,3,11,150,双压线,雏菊淡香，浓度为：8%,11.0g软抽原纸,9496.529807,6
40,6,10,153,195,3,13,130,压线,0,13g 超韧软抽原纸,166938.5291,2
41,6,4,133,195,3,12,140,星星月亮花纹（中间层先过小点压花，三层一起过日月星压花）,0,12.0g软抽原纸,90863.58594,5
42,6,3,160,195,3,12,120,星星月亮花纹（中间层先过小点压花，三层一起过日月星压花）,雏菊淡香,12.0g软抽原纸,4650.039082,5
43,18,1,160,195,3,13,150,压线,0,13g 超韧软抽原纸,2516.524338,2
44,3,10,153,195,3,13,120,双压线,0,13g 超韧软抽原纸,331593.1286,2
45,8,6,153,195,3,13,120,星星月亮花纹（中间层先过小点压花，三层一起过日月星压花）,0,13g 超韧软抽原纸,54380.68933,2
46,8,6,140,195,3,11,126,压线,0,11.0g软抽原纸,132949.0571,2
47,6,3,133,195,3,13,130,压线,0,13g 超韧软抽原纸,31452.11128,2
48,6,8,133,195,3,13,110,压线,0,13g 超韧软抽原纸,56175.70107,2
49,6,8,160,195,3,13,150,压线,0,13g 超韧软抽原纸,111312.9524,2
50,18,2,160,195,3,13,150,压线,0,13g 超韧软抽原纸,1672.283487,2
51,18,1,153,195,3,13,120,压线,0,13g 超韧软抽原纸,2418.886494,2
52,5,16,160,195,3,13,90,双压线,0,13g 超韧软抽原纸,1245.895973,2
53,8,6,160,195,3,12,120,星星月亮花纹（中间层先过小点压花，三层一起过日月星压花）,加香（雏菊香水，浓度为：8%，德之馨）,12.0g软抽原纸,71456.80392,5
54,18,1,189,195,3,13,150,双压线,0,13g 超韧软抽原纸,10876.64423,2
55,6,3,153,195,3,13,130,双压线,0,13g 超韧软抽原纸,203332.4529,2
56,6,3,133,195,3,13,130,双压线,0,13g 超韧软抽原纸,16222.80717,2
57,18,1,160,195,3,13,150,双压线,0,13g 超韧软抽原纸,7439.521812,2
58,3,16,160,195,3,13,150,双压线,0,13g 超韧软抽原纸,49319.28354,2
59,6,10,153,195,3,13,130,双压线,0,13g 超韧软抽原纸,49932.27501,2
60,24,1,133,195,3,14.5,108,压花工艺：上2层压郁金香细点纹图案+下１层压小点纹，上胶复合成型（无色）,0,15.3g/㎡软抽立体美纸原纸,9568.445578,7
61,18,1,153,195,3,14.5,108,压花工艺：上2层压郁金香细点纹图案+下１层压小点纹，上胶复合成型（无色）,0,15.3g/㎡立体美纸面巾原纸,15139.82616,7
62,8,2,133,195,3,13,130,双压线,0,13g 超韧软抽原纸,6956.800634,2
63,18,1,133,195,3,14.5,108,上2层压郁金香细点纹图案+下１层压小点纹，上胶复合成型（无色）,0,15.3g/㎡软抽立体美纸原纸,92456.1247,7
64,4,16,133,195,3,13,100,双压线,0,13g 超韧软抽原纸,84345.56816,2
65,8,6,133,195,3,14.5,110,上2层压郁金香细点纹图案+下１层压小点纹，上胶复合成型（无色）,0,15.3g/㎡软抽立体美纸原纸,2003.717264,7
66,6,8,153,195,3,14.5,110,上2层压郁金香细点纹图案+下１层压小点纹，上胶复合成型（无色）,0,15.3g/㎡软抽立体美纸原纸,3146.614317,7
67,24,1,153,195,3,14.5,108,上2层压郁金香细点纹图案+下１层压小点纹，上胶复合成型（无色）,0,15.3g/㎡软抽立体美纸原纸,12054.13525,7
68,18,1,133,195,3,13,132,双压线,0,13g 超韧软抽原纸,47030.22652,2
69,0,0,160,195,2,15,150,压线,0,15.0g 软抽原纸,241071.1566,3
70,6,8,153,195,3,13,150,月亮花纹（三层一起过日月星压花）,0,13.3克婴儿软抽,3536.255286,2
71,3,6,153,195,3,13,150,月亮花纹（三层一起过日月星压花）,0,13.3克婴儿软抽,717797.6897,2
72,32,1,153,195,3,13,90,月亮花纹（三层一起过日月星压花）,0,13.3克婴儿软抽,105397.6308,2
73,6,4,133,195,3,13,120,双压线,0,13g 超韧软抽原纸,432.9337958,2
74,4,5,133,195,3,13,120,压线,0,13g 超韧软抽原纸,2567.64558,2
75,1,24,153,195,3,14.5,110,上两层压郁金香细点纹+下１层压小点纹（无色）,0,15.3g/㎡软抽立体美纸原纸,14731.21803,7
76,1,18,153,195,3,14.5,108,上两层压郁金香细点纹+下１层压小点纹（有色）,0,15.3g/㎡软抽立体美纸原纸,23367.10554,7
77,1,18,133,195,3,14.5,108,上两层压郁金香细点纹+下１层压小点纹（有色）,0,15.3g/㎡软抽立体美纸原纸,53740.81118,7
78,10,5,133,195,3,13,126,压线,0,13g 超韧软抽原纸,3101.396731,2
79,4,6,140,195,3,13,100,月亮花纹（三层一起过日月星压花）,0,13.3克婴儿软抽,6711.221128,2
80,4,12,189,195,3,13,120,双压线,0,13g 超韧软抽原纸,14318.46124,2
81,8,8,140,195,3,13,100,月亮花纹（三层一起过日月星压花）,0,13.3克婴儿软抽,22099.4392,2
82,3,12,133,195,3,13,120,双压线,0,13g 超韧软抽原纸,16152.5281,2
83,3,12,133,195,3,13,120,双压线,0,13g 超韧软抽原纸,7797.054418,2
84,8,6,133,195,3,13,130,双压线,0,13g 超韧软抽原纸,6910.091227,2
